,name,categories,type,unit,database,"REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM_replicated_2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM_replicated_2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM_replicated_2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM_replicated_2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  |
REM_replicated_2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  |
REM_replicated_2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM_unlinked_2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM_unlinked_2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM_unlinked_2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM_unlinked_2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  |
REM_unlinked_2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  |
REM_unlinked_2_2"
14,Acephate,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Acetaldehyde,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.3461462401151694e-06,3.4920866186937902e-06,3.6895344138641153e-06,3.250119437329317e-07,1.3785688640860754e-06,4.7056328145366734e-06,3.3461462401151694e-06,3.4920866186937902e-06,3.6895344138641153e-06,6.961032008770906e-07,1.3785688640860754e-06,4.705632814536674e-06,3.346146240115168e-06,3.4920866186937902e-06,3.689534413864115e-06,6.961032008770906e-07,1.3785688640860754e-06,4.705632814536673e-06
16,Acetamide,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Acetic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.7300110460438638e-05,2.170666156204365e-05,2.727508833441345e-05,3.252581989323328e-06,1.1138453728204464e-05,2.67726974320454e-05,1.7300110460438638e-05,2.170666156204365e-05,2.727508833441345e-05,5.1525046518461514e-06,1.1138453728204464e-05,2.6772697432045405e-05,1.7300110460438628e-05,2.170666156204365e-05,2.7275088334413445e-05,5.1525046518461514e-06,1.1138453728204464e-05,2.677269743204539e-05
18,Acetochlor,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Acetone,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,5.095209606001327e-06,5.309064140027609e-06,5.597552177812572e-06,2.5704219096594677e-07,1.8225241238260094e-06,6.384680481280455e-06,5.095209606001327e-06,5.309064140027609e-06,5.597552177812572e-06,6.387417686812162e-07,1.8225241238260094e-06,6.384680481280454e-06,5.095209606001325e-06,5.309064140027609e-06,5.597552177812572e-06,6.387417686812162e-07,1.8225241238260094e-06,6.384680481280452e-06
20,Aclonifen,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.797035047021382e-07,1.8733466277762754e-07,1.9763735542440504e-07,1.004693509061223e-10,4.835005092538692e-10,1.6851197006540666e-07,1.797035047021382e-07,1.8733466277762754e-07,1.9763735542440504e-07,1.746137382213135e-10,4.835005092538647e-10,1.6851197006540658e-07,1.7970350470213815e-07,1.8733466277762756e-07,1.9763735542440504e-07,1.746137382213135e-10,4.835005092538777e-10,1.685119700654065e-07
21,Acrolein,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.2278604992011996e-09,1.393416139872984e-09,1.6106020995690615e-09,7.520419847946514e-11,7.253818613654802e-10,1.5904475396819245e-09,1.2278604992011996e-09,1.393416139872984e-09,1.6106020995690615e-09,2.5907743139389257e-10,7.253818613654802e-10,1.5904475396819247e-09,1.2278604992011996e-09,1.393416139872984e-09,1.6106020995690615e-09,2.5907743139389257e-10,7.253818613654801e-10,1.5904475396819239e-09
22,Acrylic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.9040009322429296e-09,4.064046002458538e-09,4.277955972419567e-09,1.0688927705541708e-11,1.3234688039561677e-09,3.808431439405446e-09,3.9040009322429296e-09,4.064046002458538e-09,4.277955972419567e-09,4.7034557470537864e-11,1.3234688039561683e-09,3.808431439405445e-09,3.9040009322429296e-09,4.064046002458538e-09,4.277955972419567e-09,4.7034557470537864e-11,1.3234688039561677e-09,3.808431439405442e-09
23,Alachlor,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Aldehydes, unspecified","('air', 'urban air close to ground')",emission,kilogram,biosphere3,8.039215126078862e-08,3.216920073717147e-07,6.225205965590769e-07,2.5765720290615107e-09,5.742068274041983e-08,3.1400536457733613e-07,8.039215126078862e-08,3.216920073717147e-07,6.225205965590769e-07,1.1215105216157925e-08,5.742068274041983e-08,3.1400536457733624e-07,8.039215126077738e-08,3.216920073717094e-07,6.225205965590769e-07,1.1215105216157925e-08,5.742068274041981e-08,3.140053645773296e-07
25,Aldicarb,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Aldrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.0040270475608748e-10,1.0451875913211802e-10,1.100201328655499e-10,2.754504979539882e-13,3.403890000214142e-11,9.794716727636569e-11,1.0040270475608748e-10,1.0451875913211802e-10,1.100201328655499e-10,1.2114876060718673e-12,3.403890000214142e-11,9.794716727636569e-11,1.0040270475608704e-10,1.0451875913211787e-10,1.100201328655499e-10,1.2114876060718673e-12,3.403890000214199e-11,9.794716727636569e-11
27,Aluminium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.111192523481289e-05,4.287221703933168e-05,4.5249896339897196e-05,1.101422067565431e-06,2.1099994217477832e-05,4.737359043470286e-05,4.111192523481289e-05,4.287221703933168e-05,4.5249896339897196e-05,3.4988303777495046e-06,2.1099994217477832e-05,4.737359043470286e-05,4.111192523481289e-05,4.2872217039331676e-05,4.524989633989721e-05,3.4988303777495046e-06,2.1099994217477825e-05,4.737359043470284e-05
28,"Aluminium, 24% in bauxite, 11% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.00584516617548659,0.0063543128882787,0.007073535846098508,0.00048269977995623757,0.004778372986371057,0.009544055781912558,0.00584516617548659,0.0063543128882787,0.007073535846098508,0.0019510893834558496,0.004778372986371057,0.009544055781912558,0.00584516617548659,0.006354312888278701,0.007073535846098508,0.0019510893834558496,0.004778372986371057,0.009544055781912556
29,Amidosulfuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Ammonia,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0007977612999686346,0.0008443880709769737,0.0009069176487961454,4.659025328914933e-06,0.00035436127763930296,0.000777264094130165,0.0007977612999686346,0.0008443880709769737,0.0009069176487961454,1.8755923809129826e-05,0.00035436127763930296,0.000777264094130165,0.0007977612999686346,0.0008443880709769739,0.0009069176487961456,1.8755923809129826e-05,0.00035436127763930286,0.0007772640941301646
31,Ammonium carbonate,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.4824534678405386e-09,2.5029893526723993e-09,3.7835383817220095e-09,1.1678457851200704e-09,3.107427450400519e-09,4.908290988212326e-09,1.4824534678405386e-09,2.5029893526723993e-09,3.7835383817220095e-09,1.2759040423109337e-09,3.107427450400519e-09,4.9082909882123265e-09,1.482453467840531e-09,2.5029893526724035e-09,3.7835383817220095e-09,1.2759040423109337e-09,3.1074274504005195e-09,4.9082909882123364e-09
32,"Ammonium, ion","('water', 'ground-')",emission,kilogram,biosphere3,7.980588886709627e-07,8.302792115022317e-07,8.741898593121958e-07,7.333893806799779e-07,1.803595053165542e-06,4.956767694889127e-06,7.980588886709627e-07,8.302792115022317e-07,8.741898593121958e-07,7.850184237294124e-07,1.803595053165542e-06,4.956767694889127e-06,7.980588886709627e-07,8.302792115022314e-07,8.741898593121958e-07,7.850184237294124e-07,1.803595053165542e-06,4.956767694889127e-06
33,"Anhydrite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,2.5628848128707304e-07,5.178693124393428e-07,8.446434865574737e-07,4.020409047887876e-09,1.1794633333530303e-07,4.998650221714337e-07,2.5628848128707304e-07,5.178693124393428e-07,8.446434865574737e-07,1.897431075040423e-08,1.1794633333530303e-07,4.998650221714337e-07,2.5628848128707214e-07,5.178693124393436e-07,8.446434865574737e-07,1.897431075040423e-08,1.1794633333530301e-07,4.998650221714336e-07
34,Aniline,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.3762432063404604e-09,1.4366849335594778e-09,1.5185340223789099e-09,1.1728806275995e-12,1.0132407355682135e-11,1.298050698647808e-09,1.3762432063404604e-09,1.4366849335594778e-09,1.5185340223789099e-09,6.454394051794837e-12,1.0132407355682133e-11,1.298050698647808e-09,1.3762432063404643e-09,1.4366849335594797e-09,1.5185340223789099e-09,6.454394051794836e-12,1.0132407355682165e-11,1.2980506986478046e-09
35,Anthranilic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.5359289468917538e-11,1.6011647443377367e-11,1.6892398441841698e-11,8.54396515263496e-15,4.223331587271597e-14,1.4403035224506081e-11,1.5359289468917538e-11,1.6011647443377367e-11,1.6892398441841698e-11,1.5128718337945e-14,4.2233315872715604e-14,1.4403035224506073e-11,1.535928946891753e-11,1.601164744337737e-11,1.6892398441841698e-11,1.5128718337945e-14,4.2233315872716715e-14,1.4403035224506068e-11
36,Anthraquinone,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Antimony,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.951122620607377e-08,2.023048788868175e-08,2.1198131141717196e-08,1.7202850679268473e-10,3.6475052282830477e-09,1.8984677118772474e-07,1.951122620607377e-08,2.023048788868175e-08,2.1198131141717196e-08,5.396173613490459e-10,3.6475052282830477e-09,1.8984677118772474e-07,1.9511226206073757e-08,2.023048788868176e-08,2.1198131141717183e-08,5.396173613490459e-10,3.647505228283043e-09,1.8984677118772474e-07
38,Antimony-122,"('water', 'ground-')",emission,kilo Becquerel,biosphere3,0.20544992598414136,0.20544992598414138,0.2054499259841413,0.0,0.0,0.18430869857080037,0.20544992598414136,0.20544992598414138,0.2054499259841413,0.0,0.0,0.18430869857080037,0.20544992598414136,0.20544992598414138,0.2054499259841413,0.0,0.0,0.18430869857080032
39,Arsenic,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.775480292832993e-07,5.000740948592849e-07,5.309838548082171e-07,1.8326677687051246e-08,1.444455818574218e-07,1.5734597450157277e-06,4.775480292832993e-07,5.000740948592849e-07,5.309838548082171e-07,5.4020905152875296e-08,1.444455818574218e-07,1.573459745015728e-06,4.775480292832992e-07,5.000740948592848e-07,5.30983854808217e-07,5.4020905152875296e-08,1.4444558185742176e-07,1.5734597450157277e-06
40,"Arsenic, ion","('water', 'ground-')",emission,kilogram,biosphere3,1.3062224680237079e-06,1.363214270280529e-06,1.4410393288914787e-06,8.19657052332824e-08,8.034669225507487e-07,1.6348608758040245e-06,1.3062224680237079e-06,1.363214270280529e-06,1.4410393288914787e-06,3.345108485338997e-07,8.034669225507487e-07,1.6348608758040245e-06,1.3062224680237079e-06,1.363214270280529e-06,1.4410393288914787e-06,3.345108485338997e-07,8.034669225507487e-07,1.634860875804024e-06
41,Arsine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.550629494642804e-14,4.737183193655714e-14,4.9865235580881633e-14,1.245935120895706e-16,1.5426779236459377e-14,4.439230584858395e-14,4.550629494642804e-14,4.737183193655714e-14,4.9865235580881633e-14,5.482497186631089e-16,1.5426779236459384e-14,4.439230584858394e-14,4.550629494642804e-14,4.737183193655714e-14,4.9865235580881633e-14,5.482497186631089e-16,1.5426779236459377e-14,4.439230584858391e-14
42,Asulam,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Atrazine,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.6339725081550172e-11,2.7419534048442155e-11,2.8862768793774826e-11,7.226192195627966e-14,8.929792066249271e-12,2.5695537494984563e-11,2.6339725081550172e-11,2.7419534048442155e-11,2.8862768793774826e-11,3.1782268860906153e-13,8.929792066249271e-12,2.5695537494984563e-11,2.6339725081550056e-11,2.7419534048442117e-11,2.8862768793774826e-11,3.1782268860906153e-13,8.929792066249422e-12,2.5695537494984563e-11
44,Azinphos-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Azoxystrobin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"Barite, 15% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.01906549369877135,0.020961870512775593,0.023691059305069068,0.0009158276932594852,0.006915955179874016,0.020461125078471004,0.01906549369877135,0.020961870512775593,0.023691059305069068,0.001457886739157468,0.006915955179874016,0.020461125078470997,0.019065493698771346,0.020961870512775586,0.023691059305069068,0.001457886739157468,0.006915955179874016,0.020461125078470987
47,Barium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.2181037553856975e-06,1.2615589791162587e-06,1.3202398140837257e-06,1.2973303611970455e-08,2.483103511733706e-07,1.173036980442529e-05,1.2181037553856975e-06,1.2615589791162587e-06,1.3202398140837257e-06,4.1104443195093394e-08,2.483103511733706e-07,1.1730369804425292e-05,1.2181037553856975e-06,1.2615589791162583e-06,1.3202398140837257e-06,4.1104443195093394e-08,2.483103511733705e-07,1.1730369804425292e-05
48,"Basalt, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0010475516286229932,0.0011024909827755916,0.0011777531224700965,5.279137052661736e-05,0.0006174767840426087,0.0013597799807857035,0.0010475516286229932,0.0011024909827755916,0.0011777531224700965,0.0002449610485761148,0.0006174767840426087,0.0013597799807857035,0.0010475516286229932,0.0011024909827755888,0.0011777531224700971,0.0002449610485761148,0.0006174767840426088,0.001359779980785703
49,Benomyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,4.501101873686393e-09,4.6925477723691e-09,4.951045452083166e-09,4.578636936283884e-13,5.447298082809146e-12,4.214177881006154e-09,4.501101873686393e-09,4.6925477723691e-09,4.951045452083166e-09,1.0872521447389526e-12,5.447298082809146e-12,4.214177881006154e-09,4.501101873686407e-09,4.692547772369106e-09,4.951045452083166e-09,1.0872521447389518e-12,5.447298082809243e-12,4.2141778810061425e-09
50,Bensulfuron methyl ester,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Bentazone,"('soil', 'agricultural')",emission,kilogram,biosphere3,9.171236107628927e-08,9.560695136829329e-08,1.0086496939999106e-07,5.127491214623152e-11,2.467563084445075e-10,8.600071918474603e-08,9.171236107628927e-08,9.560695136829329e-08,1.0086496939999106e-07,8.911478011066812e-11,2.467563084445053e-10,8.600071918474599e-08,9.171236107628925e-08,9.560695136829331e-08,1.0086496939999106e-07,8.911478011066812e-11,2.4675630844451197e-10,8.600071918474596e-08
52,Benzal chloride,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Benzaldehyde,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.406228704097908e-10,7.269997266360822e-10,8.40314140678669e-10,3.9236973021437525e-11,3.7846010158654207e-10,8.297987175661139e-10,6.406228704097908e-10,7.269997266360822e-10,8.40314140678669e-10,1.351708333766959e-10,3.7846010158654207e-10,8.29798717566114e-10,6.406228704097908e-10,7.269997266360822e-10,8.40314140678669e-10,1.351708333766959e-10,3.7846010158654207e-10,8.297987175661134e-10
54,Benzene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.1873922499916406e-05,4.348683986531185e-05,5.842047553389695e-05,1.5905899329380403e-06,1.2175880776640693e-05,6.233417506279202e-05,3.1873922499916406e-05,4.348683986531185e-05,5.842047553389695e-05,3.309132831046305e-06,1.2175880776640693e-05,6.233417506279202e-05,3.187392249991641e-05,4.348683986531185e-05,5.842047553389695e-05,3.309132831046305e-06,1.2175880776640688e-05,6.2334175062792e-05
55,"Benzene, dichloro","('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.8086943910137103e-10,3.979628675644366e-10,4.2115547693333407e-10,6.904034629945939e-13,5.038475854481228e-12,3.616754728919081e-10,3.8086943910137103e-10,3.979628675644366e-10,4.2115547693333407e-10,3.284255388721093e-12,5.038475854481218e-12,3.6167547289190797e-10,3.808694391013709e-10,3.9796286756443674e-10,4.211554769333341e-10,3.284255388721093e-12,5.0384758544812455e-12,3.616754728919078e-10
56,"Benzene, ethyl-","('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.31337246189505e-06,4.814512962235783e-06,5.53291328002298e-06,1.2094645717407432e-07,1.320584018909744e-06,4.7434084519243565e-06,4.31337246189505e-06,4.814512962235783e-06,5.53291328002298e-06,2.465807298058518e-07,1.320584018909744e-06,4.7434084519243565e-06,4.313372461895051e-06,4.814512962235783e-06,5.532913280022979e-06,2.465807298058518e-07,1.3205840189097436e-06,4.743408451924354e-06
57,"Benzene, hexachloro-","('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.444594144508787e-11,2.5745056975156575e-11,2.749816760362369e-11,1.3254241183008532e-12,1.6315354297848014e-11,3.1699273667544065e-11,2.444594144508787e-11,2.5745056975156575e-11,2.749816760362369e-11,7.391605063700588e-12,1.6315354297848014e-11,3.1699273667544026e-11,2.4445941445087906e-11,2.5745056975156552e-11,2.7498167603623656e-11,7.391605063700588e-12,1.6315354297847907e-11,3.1699273667543864e-11
