,name,categories,type,unit,database,"Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_1","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_1","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_1","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_3","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_3","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_3","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_4","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_4","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_4","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_5","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_5","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_5","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_6","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_6","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_6","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM3_6","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM3_6","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM3_6","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM3_5","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM3_5","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM3_5"
0,"1,4-Butanediol","('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.1209862073733768e-12,2.7944853185614207e-11,4.614810645203592e-10,2.5093041303996677e-11,5.849719038093196e-11,1.040442354118288e-09,1.921058538998336e-11,4.619510064244348e-11,6.380744796605361e-10,2.345438818922075e-11,5.567699674255154e-11,6.235286190462754e-10,1.4400145400293248e-11,3.456658329098931e-11,9.309056637276432e-10,1.4423914722312378e-11,1.4897357401976852e-10,1.3069052393556007e-09,2.1859532065288613e-11,1.5729891110599949e-10,1.0567069896204666e-09,4.894253129391193e-10,5.101158203600623e-10,5.380076175771094e-10,1.0991672064989209e-09,1.1448958832291101e-09,1.2067763233795481e-09,1.3766684142258076e-09,1.4328641489614301e-09,1.508734094345679e-09
1,1-Pentanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.7471472015943744e-12,2.4181490777161073e-12,1.1865139040439692e-11,4.114418356539777e-12,7.117831440825998e-12,9.538939509292981e-11,3.4234272355452475e-12,5.938815274267396e-12,6.772335084806759e-11,4.145182850544548e-12,7.574080774712773e-12,8.129686550723127e-11,2.1134132854614443e-12,2.988678049252431e-12,8.476377880252853e-11,2.0732711720533326e-12,2.8702353034024574e-12,8.389998227436812e-11,3.735578249265531e-12,5.04390263499137e-12,1.3755668738185516e-10,9.77483639740183e-12,1.0737803266894006e-11,1.2106443117125472e-11,1.4176356982440803e-10,1.4861041825789539e-10,1.5795688314315785e-10,8.682387786261996e-11,9.105981256043269e-11,9.684723852798463e-11
2,1-Pentene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.320285514598547e-12,1.8273487009517775e-12,8.966245660502694e-12,2.482284122135814e-11,8.802405832565807e-11,1.9834299351882084e-10,2.3428483630925537e-11,8.618912645511154e-11,1.754514087974993e-10,2.491287612543038e-11,8.957757810435544e-11,1.880774412889473e-10,2.0491889547739715e-11,8.311751466990198e-11,1.9872759936504293e-10,2.0677118444194015e-11,8.288098215832419e-11,1.9652369971811536e-10,2.574195344752912e-11,8.72916520765239e-11,2.4004714643737155e-10,7.386643395529122e-12,8.114338405220903e-12,9.148592497201369e-12,1.7528312769393416e-10,1.837426112573647e-10,1.9524705151823135e-10,1.3361207496822304e-10,1.4003969716247654e-10,1.487786482463534e-10
3,"2,4-D","('soil', 'agricultural')",emission,kilogram,biosphere3,1.7062756581413793e-10,8.56684610381358e-10,6.610523577084281e-07,5.175623204414905e-08,1.198350281247346e-07,5.104387763421403e-06,2.6734174477401264e-08,6.390983675902435e-08,2.9646836727179238e-06,4.646623491295907e-08,1.0768151384501708e-07,2.966376478327044e-06,1.1016588664937114e-08,2.771958902524046e-08,4.534414098181294e-06,9.09756794183889e-09,2.3067604925590943e-08,4.499405977098171e-06,6.717644999209883e-09,1.6954873652416332e-08,3.0287660460986493e-06,7.060600994909019e-07,7.360910272456798e-07,7.766399473249368e-07,3.231131652351842e-06,3.3685209785785757e-06,3.554031492636934e-06,4.801410783839419e-06,5.005452764854532e-06,5.280947045503704e-06
4,2-Aminopropanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.3299159904159568e-14,4.814492622539095e-14,1.0930041242867179e-11,9.737629359303607e-12,2.1563808394168625e-11,1.0821230196569512e-10,1.1211464106161632e-11,2.5288898591749317e-11,7.461949061271126e-11,1.996612871148989e-11,4.478596712423573e-11,6.219485147605516e-11,2.886401771894712e-13,6.942048232615931e-13,8.363419303762591e-11,2.3380926275237704e-13,5.6211463407728e-13,8.282026904723602e-11,3.785747024445848e-12,5.110401922033372e-12,1.4801101124145351e-10,1.1636099170137004e-11,1.2134040561100931e-11,1.280677873100822e-11,1.5286328969361517e-10,1.6018950022603244e-10,1.7018412363930927e-10,8.832939379841211e-11,9.208421267387864e-11,9.715410181437388e-11
5,2-Methyl pentane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,2.0353498726249944e-09,7.788414571821255e-09,1.1755625508048872e-08,1.8308956394690576e-09,7.435055123234186e-09,1.1040710936541155e-08,1.8474331424720022e-09,7.492798662096626e-09,1.1022681340903654e-08,1.5975942287827017e-09,7.2450851739096775e-09,1.1785680976417802e-08,1.6126552139088832e-09,7.231268259911444e-09,1.16575518871427e-08,1.9358862699089644e-09,7.46526502756193e-09,1.1896443412836497e-08,0.0,0.0,0.0,5.6893049377966815e-09,5.962932842662454e-09,6.332508828481076e-09,5.679432380994222e-09,5.949462585901042e-09,6.314690938106467e-09
6,2-Methyl-1-propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.0298261237672044e-12,4.250960627599078e-12,7.545452980267591e-11,9.966203919226825e-12,1.8763594287658832e-11,3.379157614623916e-10,7.977837477316552e-12,1.501309613185181e-11,2.4785906475265395e-10,1.0343631566405498e-11,2.042319630096379e-11,7.948530587094124e-10,4.0618217263637405e-12,6.257540858112607e-12,3.4042964291818575e-10,3.92576965723082e-12,5.881910447234911e-12,3.3784909986488335e-10,1.1776103353264235e-11,1.6127342230217277e-11,5.126387014222153e-10,7.558539242223712e-11,7.974131144555664e-11,8.54704502194853e-11,5.313377846867025e-10,5.56474226687197e-10,5.907297166584878e-10,3.5586804134337274e-10,3.719423580164128e-10,3.937642814903827e-10
7,2-Methyl-2-butene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.928548990521319e-16,4.0532750306604e-16,1.988824911977005e-15,2.5163690323496516e-12,3.871892055624582e-12,5.587790092432245e-12,2.160110871907446e-12,3.832340483103801e-12,5.880274533015117e-12,2.1662706283732827e-12,2.412654893523148e-12,2.7653413341173256e-12,1.3023090216876678e-15,3.612290153231725e-15,4.2632484601130246e-14,1.9580561346412316e-15,8.068943807283674e-15,5.036749316868814e-14,3.209577712056814e-15,1.0024486824926393e-14,7.773474138103617e-14,1.638450899490336e-15,1.799862499807228e-15,2.02927261258696e-15,7.032756007651034e-14,7.781402888973611e-14,8.753387240528514e-14,4.471599882816597e-14,4.8980757456891e-14,5.454865837338733e-14
8,2-Nitrobenzoic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.072262721139976e-14,5.781964814985344e-14,1.9745702640216333e-11,4.829570173622376e-12,1.0843727529483273e-11,2.3172346738628915e-10,3.4743908271791913e-12,7.919927909810508e-12,1.5981858639704672e-10,4.8766565509695485e-12,1.1105620446512735e-11,1.248583186976075e-10,5.176560323177006e-13,1.2846793985384435e-12,1.9766746838328733e-10,4.304428707844959e-13,1.068277800408134e-12,1.956024079972729e-10,8.811808123389134e-12,1.191688781997991e-11,3.4741671558677284e-10,2.105669721265407e-11,2.1951031571244556e-11,2.315847458762667e-11,3.588949273586648e-10,3.7608260106896216e-10,3.9952904563383697e-10,2.0870910129494362e-10,2.1757745256659418e-10,2.2955128840608697e-10
9,2-Propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.8166705962048125e-08,5.115337280217254e-07,1.4720331908799323e-06,2.788321997542053e-08,4.792902981901213e-07,1.3735158713993414e-06,2.5091972089847006e-08,4.6109468689256416e-07,1.2930275163793029e-06,2.5380646986333333e-08,4.6159551108566047e-07,1.2942504906547578e-06,2.485684440562917e-08,5.38695313458566e-07,1.506078297198293e-06,2.6851809751175873e-08,5.326071121911935e-07,1.4790138947311505e-06,3.3421034652461025e-08,5.418563286191696e-07,1.494435648356602e-06,1.5089865897477567e-06,1.5708475644094913e-06,1.6535284175412108e-06,1.5066870638915584e-06,1.573039866658311e-06,1.6619611060285726e-06,1.4987705529325581e-06,1.563533940051967e-06,1.6503831342320507e-06
10,4-Methyl-2-pentanone,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.801536756625966e-11,2.347554452548125e-10,3.769908690534652e-10,0.0,0.0,0.0,2.0291424968529625e-10,2.127965396573573e-10,2.2624163035384508e-10,0.0,0.0,0.0
11,Abamectin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.903557689938196e-12,1.3087502724651824e-11,7.788978368166758e-12,0.0,0.0,0.0,4.9713312429427845e-12,5.268445666644146e-12,5.681964899017861e-12,0.0,0.0,0.0
12,Acenaphthene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.4686476953498363e-11,3.258090928281065e-11,7.306186463708498e-12,1.5559870416346933e-11,3.428140625739258e-11,5.793577233108215e-12,1.8171584007202088e-13,4.1865041137565336e-13,1.3472775740969153e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.034070404577334e-19,2.7619705089653743e-18,8.128034473308815e-18,5.478986193035659e-12,5.71803051883206e-12,6.044544585706382e-12,8.058474369391083e-18,8.351116668564692e-18,8.74546451039011e-18,0.0,0.0,0.0
13,Acephate,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,6.06250335361144e-11,1.4089568419126537e-10,3.346910168262356e-10,8.268529227333152e-11,2.0738969273583407e-10,4.3482580424535947e-10,1.0644467842321245e-10,2.542827364225621e-10,4.5658431794631765e-10,2.1787552261551563e-10,4.91272261759789e-10,5.613862931805174e-10,1.552215634084282e-10,3.5446531145132913e-10,5.506767949228231e-10,2.3732838647412542e-09,5.8278889257646175e-09,8.271841246029261e-07,0.0,0.0,0.0,8.822095555165548e-07,9.197255510989445e-07,9.70382903231248e-07,4.867559704640617e-10,5.113279894204452e-10,5.450851588008984e-10
14,Acetaldehyde,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.96103200877091e-07,1.3785688640860752e-06,4.70563281453667e-06,5.711680923531925e-07,1.322090535841513e-06,2.021714276525313e-06,3.535369404782321e-07,9.182639652906562e-07,1.6038853736852344e-06,4.036516036282199e-07,9.496479635438259e-07,1.4906250201644568e-06,5.394706289029186e-07,1.2691661778598018e-06,1.2327329589734778e-06,6.382459610692821e-07,1.4040271758780717e-06,1.9771202142723837e-06,7.56745238376431e-07,1.5718808006347796e-06,2.028445840144702e-06,3.34614624011517e-06,3.49208661869379e-06,3.6895344138641153e-06,1.3466659114916955e-06,1.5706696812161428e-06,1.8571967923490784e-06,1.3699965447516674e-06,1.5958597338953816e-06,1.8850234267735268e-06
15,Acetamide,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,8.73764915795467e-12,2.1083242219503084e-11,5.035986303549195e-11,1.1824987180220907e-11,3.014716294578318e-11,6.421641165512685e-11,1.5308261083001675e-11,3.7042203524492434e-11,6.74049557999239e-11,3.059348552680523e-11,6.961667145100887e-11,8.316308014253191e-11,2.180018148297566e-11,5.0225509166430144e-11,8.10402638933269e-11,8.863683858885396e-14,3.3924538190456805e-13,3.33779968385239e-11,0.0,0.0,0.0,3.5537583385281744e-11,3.704993068620861e-11,3.9091977737820506e-11,7.2244382448445e-11,7.586069928191342e-11,8.082422903251963e-11
16,Acetic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,5.152504651846152e-06,1.1138453728204462e-05,2.677269743204532e-05,4.623680188680313e-06,1.0837602043609162e-05,1.4155485877380158e-05,1.2563797223574137e-06,3.6076665701991877e-06,1.1228868062651984e-05,1.30521449168359e-06,3.4890958390172338e-06,1.0952154262293462e-05,1.0275372092606838e-06,3.008263806521696e-06,9.993332942970398e-06,9.24616563766354e-07,2.766428329223965e-06,9.924709738922896e-06,1.012678611071844e-06,2.7645196532208964e-06,9.786320028165514e-06,1.7300110460438628e-05,2.1706661562043644e-05,2.727508833441345e-05,5.561443042775543e-06,9.472712810640713e-06,1.4368303319238502e-05,5.780005296448144e-06,9.707757646586403e-06,1.4626732337440685e-05
17,Acetochlor,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,1.3139278333137367e-11,7.626659618434367e-11,1.6450428294994241e-10,1.2274186177704896e-11,5.975333832606796e-11,1.1138283256244562e-10,1.994130738707098e-11,7.574194065513582e-11,1.1184063564589231e-10,2.707682928197235e-12,4.3272482697210196e-11,1.1936036293422914e-10,2.1454229999390092e-12,3.0848158731021595e-11,8.454626967677715e-11,1.3381344748196965e-11,1.3712780409183493e-10,2.1986496378728818e-10,0.0,0.0,0.0,8.666885041229853e-11,9.284938117340595e-11,1.0146513444603994e-10,8.470037210262333e-11,8.838168808537167e-11,9.332134372113115e-11
18,Acetone,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.387417686812128e-07,1.822524123826006e-06,6.384680481280548e-06,5.276531127453055e-07,1.7275827949686125e-06,3.3534699679757038e-06,2.82055806597823e-07,1.2133132887796053e-06,2.776249994524706e-06,2.9948053905955433e-07,1.1802127078349536e-06,2.6571566409924892e-06,2.190844502671093e-07,1.1308111414200166e-06,2.6619128762269413e-06,2.097628720633556e-07,1.0947900405740045e-06,2.643182917427189e-06,2.3635711194184842e-07,1.114840852680073e-06,2.648656913414548e-06,5.09520960600126e-06,5.309064140027554e-06,5.597552177812511e-06,2.4839700658104653e-06,2.59827138362821e-06,2.7516024626339015e-06,2.5043442568611317e-06,2.6183119023857674e-06,2.771395455237061e-06
19,Aclonifen,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.7461373822130207e-10,4.835005092537332e-10,1.6851197006540626e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.873156934654769e-14,1.3594371990288629e-13,3.326760000651711e-12,1.3559692425780405e-14,3.402219599494322e-14,5.4498893296333564e-12,1.1305893616506615e-14,2.84435118205354e-14,5.407717882360397e-12,7.694691940028261e-15,1.935795725341285e-14,3.3539665622808106e-12,1.7970350470213786e-07,1.8733466277762711e-07,1.9763735542440475e-07,3.578171064749573e-12,3.730304834453473e-12,3.935725007971115e-12,5.77080486272354e-12,6.015990864547194e-12,6.347032200162324e-12
20,Acrolein,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.5907743139389273e-10,7.253818613654804e-10,1.590447539681922e-09,3.5977423543380105e-10,1.4911277480479074e-09,2.2993497149152074e-09,3.3413737825477506e-10,1.4282523780414687e-09,2.1484480432453897e-09,3.6932164080937233e-10,1.5206204950649801e-09,2.184065526980602e-09,2.6099471691129046e-10,1.3194301851016363e-09,2.237525533526369e-09,2.634306123472054e-10,1.3122646635232375e-09,2.2111340993178763e-09,3.6425118644168494e-10,1.5192981827170365e-09,2.775969513266248e-09,1.2278604992011984e-09,1.3934161398729834e-09,1.61060209956906e-09,1.8424858454194204e-09,1.9324139492576095e-09,2.057354445075008e-09,1.3860262156244403e-09,1.4347069594133178e-09,1.5012611639936692e-09
21,Acrylic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.703455747053051e-11,1.3234688039561623e-09,3.808431439405676e-09,1.966378449765063e-12,3.3787809812902915e-11,9.680810005976702e-11,1.7698137786961048e-12,3.250603981586377e-11,9.11414942679881e-11,1.7898623993949606e-12,3.254071646013591e-11,9.122838599926879e-11,2.0811539722403572e-10,4.5079988102885545e-09,1.2601577513856718e-08,2.248221916939361e-10,4.4570957277378075e-09,1.2375187305532702e-08,2.7979402770913744e-10,4.534546550879251e-09,1.2503571816748642e-08,3.904000932242789e-09,4.064046002458425e-09,4.277955972419439e-09,1.2605511738120923e-08,1.3160642186987545e-08,1.3904587334504036e-08,1.2539966127009107e-08,1.3081841865031572e-08,1.3808511276791588e-08
22,Alachlor,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,1.907190786933084e-11,4.5276867555676004e-11,2.0847158417998754e-10,1.1092438362551126e-11,2.255654666930936e-11,1.7999212381990784e-10,1.796857817535927e-11,4.1583715838930835e-11,2.149864425798562e-10,1.1113295147690984e-12,5.0626138354905515e-12,2.880695641556942e-10,9.501209784052053e-13,3.8754595007750035e-12,2.82201998801819e-10,1.5204465952871523e-12,3.5950221463838667e-12,4.185932439063541e-10,0.0,0.0,0.0,4.4561027429646625e-10,4.645671471926581e-10,4.9016444130277e-10,3.0046242978318545e-10,3.132367582043505e-10,3.3048241162128916e-10
23,"Aldehydes, unspecified","('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.121510521615737e-08,5.7420682740419345e-08,3.1400536457733613e-07,1.3170892713300498e-08,5.958059401651548e-08,3.1464273351421097e-07,1.2388546815071435e-08,5.919765645355563e-08,3.140671931612078e-07,1.2438683061914134e-08,5.923992664908016e-08,3.139679154872704e-07,9.701443301649346e-09,4.658496511448641e-08,2.486094786853461e-07,8.522170294080594e-09,3.923400650126209e-08,2.0214581156813564e-07,7.547821337183062e-09,3.209153220120971e-08,1.6666858198386658e-07,8.039215126078973e-08,3.2169200737170706e-07,6.225205965590827e-07,4.088078664936588e-08,1.6963134463301308e-07,3.3013059435156064e-07,5.4454623525015514e-08,2.0611317388350175e-07,3.952372412876706e-07
24,Aldicarb,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,1.976688355128047e-10,4.5984303007052686e-10,8.698928486813447e-10,2.6805336076097716e-10,6.741636238847139e-10,9.20054859445703e-10,3.391321148982133e-10,8.122018434331706e-10,9.414410789069442e-10,7.306627055557318e-10,1.646908329490295e-09,9.215987903861503e-10,5.202645405766918e-10,1.187616748332111e-09,8.972915158238081e-10,1.4842811922299783e-09,1.7766894611035717e-09,3.891513625470915e-09,0.0,0.0,0.0,2.0477262315298613e-09,2.508920898823993e-09,3.1781911703847016e-09,6.180654656503993e-10,6.574173794760983e-10,7.125034702041705e-10
25,Aldrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.211487606072933e-12,3.4038900002140625e-11,9.794716727637235e-11,5.642702265370156e-08,1.2213264561963362e-07,1.959631028365615e-07,2.559835889200314e-08,5.3396037572986573e-08,8.700889769839257e-08,2.567559147415027e-08,5.8304591108846914e-08,9.912878488566621e-08,4.246263089404515e-10,6.263030641368625e-10,1.0673698944438522e-09,4.171142085006728e-10,5.651875197672503e-10,9.426328497882345e-10,2.34426255446125e-12,3.589107268609505e-11,9.867171023891087e-11,1.0040270475608407e-10,1.0451875913211543e-10,1.1002013286554695e-10,9.898621187735938e-11,1.0335000428166638e-10,1.0919880998426538e-10,4.3734421963223813e-10,4.610980604648111e-10,4.937644483577336e-10
26,Aluminium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.498830377749507e-06,2.1099994217477808e-05,4.7373590434702746e-05,2.4568058394241038e-05,3.9069164014389155e-05,6.502098797430504e-05,2.5587462284787694e-05,4.011603587445856e-05,6.606604280215749e-05,2.5881999570256456e-05,4.049489336633613e-05,6.532617837813978e-05,2.5157966841475732e-05,3.8490919225265674e-05,8.171163116283278e-05,2.4738794492532177e-05,3.6817833777537786e-05,8.01953673714833e-05,2.9211263990151603e-05,4.056887202078543e-05,8.348536008077809e-05,4.111192523481288e-05,4.2872217039331696e-05,4.524989633989714e-05,5.014662108747142e-05,5.265425453941777e-05,5.608745291164715e-05,5.168264716534644e-05,5.4263326410627665e-05,5.7799456180984094e-05
27,"Aluminium, 24% in bauxite, 11% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0019510893834558387,0.004778372986371004,0.009544055781912527,3.467544558732981e-07,1.1137086812313021e-06,4.606125680194382e-06,3.521252136558322e-07,1.1666947058371681e-06,4.6318311309431055e-06,3.5421776725900304e-07,1.168998493942993e-06,4.622825199020036e-06,2.8006377974274956e-07,9.593311972770425e-07,4.022428220471515e-06,3.2971229500250496e-07,1.0530964682973844e-06,3.897953825422531e-06,0.0,0.0,0.0,0.005845166175486562,0.006354312888278717,0.00707353584609851,0.0,0.0,0.0,1.3429562108642862e-06,3.78242999118247e-06,6.826012015966455e-06
28,Ametryn,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.569034613857156e-11,7.456357329994956e-11,1.068782492572735e-10,0.0,0.0,0.0,2.7993027895231338e-11,2.983130214086873e-11,3.2396125586765755e-11,0.0,0.0,0.0
29,Amidosulfuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,3.1264368141689204e-13,3.7691732242187694e-13,5.473883781837453e-13,2.9739589879352934e-13,3.680717002502927e-13,5.528394749487229e-13,7.388929063482309e-15,9.359645703453212e-15,1.4338454701353224e-14,7.392880209478857e-15,9.509529059516157e-15,1.459809502770157e-14,8.592626277527418e-15,3.342819422998168e-14,8.155222597898215e-14,1.0939922069204952e-13,1.3644683360765887e-13,2.1320139693153314e-13,0.0,0.0,0.0,8.29915552923847e-14,8.766019531269501e-14,9.408611371153733e-14,7.328882127965513e-14,7.654516593085649e-14,8.092681270784247e-14
30,Ammonia,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.875592380912988e-05,0.0003543612776393026,0.0007772640941301605,4.821349791952339e-05,0.0003501393602302698,0.0007496511164169442,5.806619245288842e-05,0.000477327347198139,0.0009620355293320302,6.732631949378027e-05,0.0004954231057270814,0.0009625379461293004,0.00012780099745288476,0.0006229371431805517,0.0009554514227791081,0.00010016925755266868,0.0005376285595384909,0.0008978564194559047,0.00012168694049509241,0.0005785576408596124,0.000914164222694031,0.000797761299968634,0.0008443880709769734,0.0009069176487961449,0.0008973835848482306,0.0009538145400871374,0.0010302570854831615,0.000894339626736304,0.0009505262934617392,0.0010266475080577754
31,Ammonium carbonate,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.2759040423109351e-09,3.1074274504005166e-09,4.9082909882123124e-09,6.486296229395638e-10,1.6216915675059694e-09,2.926190726754775e-09,6.576932527799867e-10,1.6818942653210248e-09,3.0228230461787195e-09,6.547047914846926e-10,1.6762457568278306e-09,3.144813030621037e-09,6.457701690869553e-10,1.6790265871936914e-09,3.092718005516771e-09,6.455528838494217e-10,1.6662792825872113e-09,3.0433789938495217e-09,6.187264410985551e-09,1.3705735240451116e-08,2.373560628053821e-08,1.4824534678405087e-09,2.5029893526723787e-09,3.7835383817219756e-09,1.2545170076339182e-08,1.3998216867353324e-08,1.5876080681784752e-08,9.321674345894144e-10,1.866615591425425e-09,3.0349273263482626e-09
32,"Ammonium, ion","('water', 'ground-')",emission,kilogram,biosphere3,7.850184237294125e-07,1.8035950531655424e-06,4.956767694889127e-06,1.037511840777362e-06,2.2466676112798046e-06,5.0695052935347335e-06,1.0881366621141534e-06,2.357121543317799e-06,5.2261957469069144e-06,1.0895726353391656e-06,2.361155775258736e-06,5.232603869990521e-06,1.2622898399892255e-06,2.7365698728115577e-06,5.265857894331074e-06,1.978968063303355e-06,4.46145998428091e-06,1.0178973080955985e-05,6.033562743714841e-06,8.848006782651705e-06,1.6503576732372482e-05,7.980588886709634e-07,8.302792115022324e-07,8.741898593121962e-07,6.245793311258025e-06,6.579416656470216e-06,7.0317629603660864e-06,4.42390298850458e-06,4.670076207619248e-06,5.002777250370446e-06
33,"Anhydrite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,1.8974310750406576e-08,1.1794633333530196e-07,4.998650221714294e-07,2.134517174600307e-08,1.2185033250997374e-07,4.975547375744851e-07,1.9325854067460907e-08,1.8291610521601342e-07,7.050409625258227e-07,1.9577325576817997e-08,1.8349755213991135e-07,7.054649192417512e-07,1.8629071959006422e-08,1.236628175873157e-07,5.013383385257559e-07,1.9159305060357322e-08,1.243435322580236e-07,4.967771642232956e-07,2.483509691753782e-08,1.325607805995052e-07,5.116625676381608e-07,2.562884812870837e-07,5.178693124393562e-07,8.446434865574759e-07,2.9082016521264696e-07,5.2542751040511e-07,8.187549044838475e-07,2.876557390777606e-07,5.166919269204382e-07,8.031362632733739e-07
34,Aniline,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.454394051794755e-12,1.013240735568225e-11,1.2980506986478075e-09,3.344569581119596e-11,6.815257696179564e-11,1.6397128198140902e-09,3.290577807015586e-11,6.928278175252181e-11,1.4584890710049177e-09,5.005895247724896e-11,1.0743229496833718e-10,1.3588399338717081e-09,1.1900725774111877e-11,2.157522058209495e-11,1.5802608753265611e-09,1.0597700728801944e-11,1.8624744653850387e-11,1.5667915581265189e-09,1.5022474315253966e-10,1.8312585540049245e-10,2.269243598404588e-09,1.3762432063404637e-09,1.4366849335594825e-09,1.5185340223789148e-09,2.2102853960894507e-09,2.34157484186347e-09,2.5234832196464137e-09,1.6616416147222351e-09,1.7342518512355618e-09,1.8325370517722707e-09
